,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
0,1019.0,4,-28.5,-31.7,60.0,12.0,-10.392304845413264,-6.000000000000002,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
1,1000.0,144,-29.1,-31.1,65.0,21.0,-19.03246352776965,-8.874983496554687,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
2,988.0,230,-28.3,-30.0,65.0,26.0,-23.5640024629529,-10.988074805258185,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
3,977.9,305,-24.4,-24.9,65.0,31.0,-28.09554139813615,-13.101166113961682,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
4,977.0,311,-24.1,-24.5,65.0,31.0,-28.09554139813615,-13.101166113961682,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
5,970.0,364,-22.7,-23.2,65.0,31.0,-28.09554139813615,-13.101166113961682,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
6,946.0,548,-21.9,-22.0,65.0,31.0,-28.09554139813615,-13.101166113961682,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
7,938.1,610,-22.1,-22.8,65.0,31.0,-28.09554139813615,-13.101166113961682,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
8,925.0,713,-22.5,-24.1,70.0,32.0,-30.070163865149066,-10.944644586421402,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
9,917.0,777,-22.5,-24.4,70.0,33.0,-31.009856485934975,-11.286664729747072,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
10,903.0,890,-22.5,-29.5,70.0,34.0,-31.949549106720884,-11.62868487307274,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
11,900.0,914,-22.5,-29.7,70.0,34.0,-31.949549106720884,-11.62868487307274,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
12,891.0,988,-22.5,-30.5,71.0,34.0,-32.14763157037677,-11.06931725154333,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
13,863.6,1219,-21.0,-31.0,75.0,35.0,-33.80740392011739,-9.058666578588227,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
14,850.0,1336,-20.3,-31.3,75.0,34.0,-32.84147809382832,-8.799847533485705,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
15,795.0,1829,-21.6,-32.6,70.0,33.0,-31.009856485934975,-11.286664729747072,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
16,762.8,2134,-22.4,-33.4,70.0,33.0,-31.009856485934975,-11.286664729747072,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
17,760.0,2161,-22.5,-33.5,70.0,33.0,-31.009856485934975,-11.286664729747072,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
18,731.8,2438,-23.8,-34.8,75.0,31.0,-29.943700614961116,-8.023390398178144,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
19,701.8,2743,-25.2,-36.2,75.0,30.0,-28.97777478867205,-7.764571353075622,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
20,700.0,2762,-25.3,-36.3,75.0,30.0,-28.97777478867205,-7.764571353075622,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
21,617.6,3658,-30.1,-40.5,70.0,26.0,-24.432008140433616,-8.89252372646739,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
22,577.0,4145,-32.7,-42.7,74.0,23.0,-22.109019006581335,-6.339659183790981,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
23,566.9,4267,-33.5,-43.4,75.0,22.0,-21.2503681783595,-5.694018992255456,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
24,542.6,4572,-35.5,-45.1,70.0,21.0,-19.733545036504076,-7.182423009839045,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
25,519.3,4877,-37.6,-46.8,45.0,17.0,-12.020815280171307,-12.020815280171309,PABR,70026,1998-02-14 12:00:00,71.3,-156.78,4.0,1.8
