,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
0,1032.0,4,-30.3,-33.4,200.0,5.0,1.7101007166283433,4.698463103929543,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
1,1028.0,33,-28.1,-30.0,197.0,5.0,1.461858523613684,4.781523779815177,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
2,1017.0,112,-26.9,-28.0,189.0,6.0,0.9386067902413846,5.926130043570827,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
3,1000.0,237,-27.1,-27.9,177.0,7.0,-0.36635169370060666,6.9904067432820165,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
4,983.0,360,-27.1,-27.6,165.0,9.0,-2.3293714059226893,8.693332436601613,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
5,972.0,442,-23.3,-23.8,156.0,10.0,-4.067366430758004,9.135454576426007,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
6,948.0,626,-19.3,-19.4,138.0,12.0,-8.0295672763063,8.917737905728728,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
7,925.0,809,-19.1,-19.3,120.0,14.0,-12.124355652982143,6.9999999999999964,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
8,888.0,1113,-19.1,-19.4,90.0,17.0,-17.0,-1.0409497792752501e-15,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
9,850.0,1437,-20.7,-21.2,59.0,20.0,-17.143346014042248,-10.300761498201084,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
10,840.0,1524,-20.9,-21.5,50.0,21.0,-16.086933305498537,-13.498539803417327,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
11,805.9,1829,-21.7,-22.5,50.0,22.0,-16.852977748617516,-14.141327413103866,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
12,773.2,2134,-22.5,-23.5,45.0,24.0,-16.97056274847714,-16.970562748477143,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
13,749.0,2368,-23.1,-24.3,45.0,25.0,-17.677669529663685,-17.67766952966369,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
14,741.9,2438,-23.3,-28.4,45.0,25.0,-17.677669529663685,-17.67766952966369,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
15,733.0,2526,-23.5,-33.5,45.0,25.0,-17.677669529663685,-17.67766952966369,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
16,711.5,2743,-24.4,-34.4,45.0,25.0,-17.677669529663685,-17.67766952966369,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
17,700.0,2862,-24.9,-34.9,45.0,26.0,-18.384776310850235,-18.38477631085024,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
18,626.6,3658,-29.0,-39.0,50.0,31.0,-23.747377736688318,-19.92641590028272,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
19,618.0,3758,-29.5,-39.5,49.0,31.0,-23.395996986905928,-20.337829898705728,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
20,575.0,4267,-33.3,-40.7,45.0,34.0,-24.041630560342615,-24.041630560342618,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
21,568.0,4354,-33.9,-40.9,45.0,35.0,-24.74873734152916,-24.748737341529164,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
22,549.0,4592,-34.1,-43.1,45.0,36.0,-25.45584412271571,-25.455844122715714,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
23,526.9,4877,-35.7,-44.7,45.0,38.0,-26.870057685088803,-26.870057685088806,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
24,504.2,5182,-37.4,-46.4,45.0,39.0,-27.577164466275352,-27.577164466275356,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
25,500.0,5240,-37.7,-46.7,45.0,39.0,-27.577164466275352,-27.577164466275356,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
26,440.6,6096,-42.7,-51.1,40.0,37.0,-23.78314155840195,-28.34364439540219,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
27,400.0,6750,-46.5,-54.5,40.0,38.0,-24.42592916808849,-29.10968883852117,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
28,349.9,7620,-51.1,-59.1,40.0,35.0,-22.497566339028875,-26.811555509164233,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
29,300.0,8620,-56.5,-64.5,35.0,36.0,-20.648751708637658,-29.489473594403705,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
30,289.7,8839,-57.9,-65.5,35.0,33.0,-18.92802239958452,-27.03201746153673,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
31,276.0,9142,-59.9,-66.9,35.0,34.0,-19.501598835935567,-27.85116950582572,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
32,275.9,9144,-59.9,-66.9,35.0,34.0,-19.501598835935567,-27.85116950582572,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
33,250.0,9760,-57.3,-65.3,20.0,28.0,-9.576564013118723,-26.311393382005434,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
34,217.0,10668,-53.1,-61.1,10.0,21.0,-3.646611731005537,-20.680962813256368,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
35,206.9,10973,-51.7,-59.7,10.0,17.0,-2.952019020337816,-16.741731801207536,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
36,200.0,11190,-50.7,-58.7,5.0,16.0,-1.3944918839625307,-15.939115169467929,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
37,194.0,11389,-49.9,-58.9,356.0,16.0,1.1161035799060104,-15.961024804157187,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
38,179.8,11887,-49.8,-58.8,335.0,16.0,6.761892187851187,-14.5009245925864,PABR,70026,1998-01-14 12:00:00,71.3,-156.78,4.0,3.11
