70026 PABR Barrow Observations at 00Z 21 Aug 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1020.0     19    0.8   -1.4     85   3.40     50      9  272.4  281.8  273.0
 1011.0     86   -0.7   -2.2     89   3.22     65     10  271.6  280.4  272.1
 1004.0    139   -1.9   -2.9     93   3.09     62     12  270.9  279.4  271.4
 1000.0    169   -2.1   -2.9     94   3.10     60     13  271.1  279.6  271.6
  964.0    459   -4.1   -4.5     98   2.86     50     13  271.9  279.8  272.3
  954.0    542   -4.7   -4.9     99   2.80     50     14  272.1  279.9  272.6
  945.0    617   -1.3   -5.4     74   2.72     50     15  276.3  284.0  276.7
  937.0    685   -0.5   -5.4     69   2.74     50     16  277.8  285.6  278.2
  925.0    788   -0.7   -5.4     70   2.78     50     18  278.6  286.5  279.1
  883.0   1159   -1.1   -7.1     64   2.55     56     18  281.9  289.4  282.3
  872.0   1259   -0.9  -10.9     47   1.92     57     18  283.1  288.8  283.4
  850.0   1462   -2.3  -10.3     54   2.06     60     18  283.7  289.9  284.1
  845.0   1509   -2.5  -10.5     54   2.04     60     18  284.0  290.1  284.3
  794.0   2001   -4.7  -12.7     54   1.83     45     10  286.8  292.3  287.1
  789.0   2050   -4.9  -12.9     53   1.80     34      8  287.0  292.5  287.4
  778.0   2161   -5.4  -10.5     68   2.23     10      4  287.6  294.4  288.0
  764.0   2303   -6.1   -7.3     91   2.91      5      5  288.4  297.1  288.9
  700.0   2985   -8.7  -12.9     72   2.03    340      9  292.8  299.1  293.2
  694.0   3052   -8.9  -13.4     70   1.97    335     10  293.3  299.4  293.6
  681.0   3198   -9.5  -14.5     67   1.83    333     10  294.2  300.0  294.6
  633.0   3750  -13.7  -17.5     73   1.53    325     10  295.7  300.6  296.0
  607.0   4066  -16.1  -19.3     76   1.38    285     10  296.5  301.0  296.8
  542.0   4921  -22.5  -23.9     88   1.03    305     11  298.6  302.0  298.8
  540.0   4949  -22.7  -24.1     88   1.02    305     11  298.7  302.0  298.9
  508.0   5395  -25.7  -27.7     83   0.78    297     19  300.3  302.9  300.4
  500.0   5510  -26.1  -31.1     63   0.57    295     21  301.2  303.1  301.3
  456.0   6167  -31.6  -32.5     92   0.55    275     21  302.3  304.2  302.4
  454.0   6198  -31.9  -32.6     93   0.55    275     21  302.3  304.2  302.4
  429.0   6596  -34.1  -36.7     77   0.39    273     23  304.4  305.8  304.5
  400.0   7080  -38.3  -39.9     85   0.30    270     26  305.1  306.2  305.2
  380.0   7431  -41.3  -43.3     81   0.22    268     29  305.7  306.5  305.7
  343.0   8120  -46.3  -50.8     60   0.11    264     36  308.0  308.4  308.0
  309.0   8807  -51.0  -54.7     64   0.07    260     43  310.8  311.1  310.8
  304.0   8914  -51.7  -55.3     65   0.07    260     41  311.2  311.5  311.2
  300.0   9000  -51.3  -60.3     33   0.04    260     41  312.9  313.1  312.9
  299.0   9022  -51.3  -61.3     29   0.03    260     41  313.2  313.4  313.2
  250.0  10190  -45.1  -73.1      3   0.01    280     29  338.9  338.9  338.9
  233.0  10663  -43.5  -73.5      2   0.01    285     24  348.2  348.2  348.2
  225.0  10897  -42.7  -73.7      2   0.01    271     20  352.9  352.9  352.9
  222.0  10987  -42.8  -73.8      2   0.01    265     19  354.1  354.2  354.1
  207.0  11458  -43.3  -74.3      2   0.01    275     30  360.5  360.6  360.5
  200.0  11690  -43.5  -74.5      2   0.01    290     24  363.7  363.8  363.7
  188.0  12107  -43.6  -75.0      2   0.01    295     18  370.1  370.1  370.1
  185.0  12216  -43.6  -75.2      2   0.01    285     15  371.7  371.8  371.7
  181.0  12363  -43.6  -75.3      2   0.01    270     19  374.0  374.1  374.0
  167.0  12906  -43.8  -76.0      2   0.01    280     19  382.5  382.6  382.5
  158.0  13280  -43.8  -76.5      1   0.01    270     17  388.5  388.6  388.5
  153.0  13496  -43.9  -76.7      1   0.01    285     18  392.0  392.1  392.0
  150.0  13630  -43.9  -76.9      1   0.01    275     15  394.2  394.2  394.2
  147.0  13765  -44.0  -77.0      1   0.01    270     14  396.3  396.4  396.3
  138.0  14187  -44.3  -77.3      1   0.01    285     15  403.1  403.1  403.1
  127.0  14742  -44.6  -77.6      1   0.01    270     14  412.1  412.1  412.1
  121.0  15066  -44.9  -77.8      1   0.01    290     14  417.4  417.5  417.4
  118.0  15234  -45.0  -78.0      1   0.01    255     12  420.2  420.3  420.2
  112.0  15583  -45.2  -78.2      1   0.01    275     15  426.1  426.1  426.1
  108.0  15826  -45.4  -78.4      1   0.01    255      9  430.2  430.3  430.2
  100.0  16340  -45.7  -78.7      1   0.01    255     19  439.1  439.2  439.1
   97.0  16542  -45.8  -78.8      1   0.01    285     22  442.8  442.9  442.8
   93.0  16822  -45.9  -78.9      1   0.01    290     17  447.9  448.0  447.9
   86.0  17342  -46.1  -79.1      1   0.01    265     17  457.6  457.7  457.6
   84.0  17499  -46.2  -79.2      1   0.01    285     22  460.6  460.6  460.6
   79.0  17906  -46.4  -79.4      1   0.01    315     13  468.4  468.4  468.4
   76.0  18164  -46.5  -79.5      1   0.01    295     10  473.4  473.4  473.4
   72.0  18523  -46.6  -79.6      1   0.01    290      5  480.4  480.5  480.4
   70.0  18710  -46.7  -79.7      1   0.01    260      6  484.1  484.2  484.1
   66.0  19100  -46.8  -79.8      1   0.01    265     11  492.2  492.2  492.2
   63.0  19408  -46.8  -79.8      1   0.01    295     14  498.6  498.7  498.6
   62.0  19514  -46.8  -79.8      1   0.01    300     10  500.9  501.0  500.9
   60.0  19732  -46.9  -79.9      1   0.01    255     10  505.5  505.6  505.5
   58.0  19956  -46.9  -79.9      1   0.01    280     13  510.3  510.4  510.3
   54.0  20430  -47.0  -80.0      1   0.01    270     13  520.7  520.8  520.7
   53.0  20554  -47.0  -80.0      1   0.01    285     11  523.4  523.5  523.4
   52.0  20680  -47.0  -80.0      1   0.01     65      1  526.2  526.3  526.2
   50.0  20940  -47.1  -80.1      1   0.01    230      7  532.0  532.1  532.0
   46.6  21406  -46.3  -80.3      1   0.01    223      8  544.8  544.9  544.8
   41.0  22248  -48.2  -81.1      1   0.01    210     10  560.4  560.5  560.4
   40.0  22411  -48.5  -81.2      1   0.01    245     14  563.4  563.5  563.4
   38.0  22748  -49.3  -81.5      1   0.01    285     11  569.8  569.9  569.8
   37.0  22923  -49.7  -81.7      1   0.01    295     11  573.1  573.3  573.1
   36.0  23103  -49.4  -81.7      1   0.01    305     10  578.5  578.6  578.5
   30.0  24300  -47.3  -81.3      1   0.02    255      4  615.1  615.2  615.1
   27.0  24999  -46.5  -81.0      1   0.02    220     10  636.3  636.5  636.3
   26.0  25249  -46.1  -80.9      1   0.02    265     10  644.0  644.2  644.0
   25.0  25510  -45.8  -80.8      1   0.02    240      7  652.2  652.4  652.2
   24.6  25617  -45.7  -80.7      1   0.02                655.6  655.8  655.6
