-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1024.0         -27.7  -30.6     76   0.29    200     12  243.8  244.6  243.8
 1012.0         -23.3  -26.5     75   0.44    210     15  249.0  250.2  249.1
 1000.0    189  -22.3  -25.1     78   0.50    220     17  250.8  252.2  250.9
  973.0    391  -21.5  -25.1     73   0.52    225     19  253.6  255.1  253.7
  925.0    764  -20.1  -25.1     64   0.54    215     21  258.8  260.3  258.8
  917.0    828  -19.8  -25.5     61   0.53    210     21  259.7  261.2  259.8
  902.0    951  -19.3  -26.3     54   0.50    215     23  261.4  262.9  261.5
  877.0   1161  -17.1  -25.1     50   0.57    225     25  265.8  267.5  265.9
  850.0   1395  -18.1  -26.1     50   0.54    235     27  267.2  268.8  267.3
  788.0   1954  -20.3  -29.1     45   0.44    240     31  270.7  272.0  270.8
  746.0   2359  -21.9  -31.2     43   0.38    220     33  273.2  274.4  273.3
  700.0   2829  -23.7  -33.7     39   0.32    225     39  276.2  277.2  276.3
  652.0   3342  -26.2  -37.1     35   0.24    225     43  279.1  279.9  279.1
  600.0   3941  -29.1  -41.1     30   0.18    225     57  282.4  283.0  282.4
  578.0   4207  -30.3  -39.3     41   0.22    225     64  284.0  284.8  284.1
  564.0   4379  -31.6  -40.0     44   0.21    225     68  284.4  285.1  284.5
  500.0   5220  -38.3  -43.3     59   0.17    225     66  286.3  286.9  286.3
  481.0   5485  -40.3  -45.3     59   0.14    224     68  287.0  287.5  287.0
  412.0   6525  -47.3  -52.3     56   0.07    221     74  291.0  291.2  291.0
  400.0   6720  -48.3  -53.3     56   0.07    220     76  292.1  292.4  292.1
  314.0   8277  -57.4  -62.4     53   0.03    225     85  300.4  300.5  300.4
  300.0   8570  -59.1  -64.1     52   0.02    225     84  301.9  302.0  301.9
  292.0   8739  -59.7  -64.7     52   0.02    225     82  303.4  303.5  303.4
  287.0   8847  -58.9  -63.9     52   0.02    225     81  306.1  306.2  306.1
  250.0   9710  -59.7  -64.7     52   0.03    225     76  317.2  317.3  317.2
  209.0  10826  -60.2  -66.0     46   0.03    230     58  333.1  333.2  333.1
  200.0  11100  -60.3  -66.3     45   0.03    220     60  337.1  337.2  337.1
  196.0  11226  -60.4  -66.4     45   0.03    225     64  338.8  339.0  338.9
  182.0  11687  -61.0  -67.0     45   0.03    235     56  345.3  345.4  345.3
  172.0  12038  -61.4  -67.3     45   0.03    230     66  350.2  350.4  350.2
  153.0  12767  -62.2  -68.2     44   0.03    230     51  360.8  360.9  360.8
  150.0  12890  -62.3  -68.3     44   0.03    230     52  362.6  362.7  362.6
  133.0  13629  -64.7  -70.7     43   0.02    230     56  371.0  371.1  371.0
  126.0  13958  -65.0  -71.4     41   0.02    230     54  376.2  376.3  376.2
  115.0  14515  -65.5  -72.5     37   0.02    245     60  385.2  385.3  385.2
  100.0  15360  -67.7  -74.7     36   0.02    240     54  396.7  396.8  396.7
   92.0  15858  -68.5  -75.5     36   0.01    235     43  404.6  404.6  404.6
   87.0  16192  -69.1  -76.1     36   0.01    230     49  409.9  410.0  409.9
   79.0  16768  -70.1  -77.1     35   0.01    245     54  419.4  419.5  419.4
   70.0  17490  -71.3  -78.3     35   0.01    240     49  431.5  431.6  431.5
   69.0  17574  -71.5  -78.5     35   0.01    240     47  432.9  433.0  432.9
   64.0  18015  -72.4  -79.4     34   0.01    250     49  440.4  440.4  440.4
   51.0  19344  -75.1  -82.1     33   0.01    245     41  463.6  463.6  463.6
   50.0  19460  -75.3  -82.3     33   0.01    240     41  465.6  465.7  465.6
   46.0  19941  -76.5  -83.5     32   0.01    245     56  474.1  474.1  474.1
   42.7  20371  -77.5  -84.5     32   0.01    255     56  481.7  481.8  481.7
   32.3  21961  -80.1  -87.1     31   0.01    255     48  514.8  514.8  514.8
   31.0  22194  -79.8  -86.8     31   0.01    255     47  521.8  521.8  521.8
   30.0  22380  -79.5  -86.5     31   0.01    260     51  527.4  527.4  527.4
   24.0  23640  -80.3  -87.3     31   0.01    260     78  559.9  559.9  559.9
   20.0  24670  -80.9  -87.9     30   0.01    260     52  587.9  588.0  587.9
   18.0  25264  -80.8  -87.8     30   0.01    265     37  606.3  606.4  606.3
   15.4  26143  -80.6  -87.6     31   0.01    275     84  634.6  634.7  634.6
   15.0  26291  -80.5  -87.5     31   0.01    275     84  639.5  639.6  639.5
   14.0  26680  -80.4  -87.4     31   0.01    270     54  652.5  652.6  652.5
   13.0  27098  -80.3  -87.3     31   0.01    260     64  666.8  667.0  666.8
   12.6  27274  -80.3  -87.3     31   0.02                672.9  673.1  672.9
