70026 PABR Barrow Observations at 06Z 21 Jul 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1008.0     19    5.6    3.8     88   5.01     65     11  278.1  292.0  279.0
 1000.0     72    4.4    3.3     93   4.87     75     12  277.6  291.0  278.4
  991.0    146    7.4    1.4     66   4.29     78     14  281.3  293.4  282.0
  986.0    188    7.8   -0.2     57   3.84     79     15  282.1  293.1  282.7
  968.0    340    7.8    3.5     74   5.11     85     19  283.6  298.0  284.4
  967.0    348    7.8    3.7     75   5.19     85     19  283.7  298.3  284.6
  953.0    468    8.2    1.2     61   4.40     85     20  285.2  297.9  286.0
  949.0    503    8.6   -6.4     34   2.51     85     20  286.0  293.5  286.4
  925.0    714    7.2   -5.8     39   2.69     85     21  286.7  294.7  287.1
  879.0   1130    4.2   -7.0     44   2.58     95     14  287.7  295.5  288.2
  850.0   1403    2.2   -7.8     48   2.51    120     19  288.4  296.0  288.9
  815.0   1741   -0.5   -9.5     51   2.29    143     17  289.1  296.0  289.5
  760.0   2296   -3.0   -9.2     62   2.51    180     13  292.2  299.9  292.6
  737.0   2540   -4.1   -9.1     68   2.62    176     14  293.6  301.6  294.0
  700.0   2944   -7.3  -11.2     74   2.33    170     16  294.4  301.6  294.8
  695.0   3000   -7.7  -11.4     75   2.31    169     16  294.5  301.7  294.9
  656.0   3447  -10.6  -14.5     73   1.90    160     18  296.1  302.1  296.5
  655.0   3459  -10.7  -14.6     73   1.89    160     18  296.2  302.1  296.5
  629.0   3771  -11.3  -20.3     47   1.22    167     19  298.9  302.9  299.2
  585.0   4314  -15.4  -22.5     55   1.08    180     20  300.5  304.1  300.7
  553.0   4736  -18.5  -24.1     61   0.99    165     22  301.6  304.9  301.8
  504.0   5432  -23.7  -26.9     75   0.84    174     26  303.4  306.3  303.6
  500.0   5490  -23.9  -28.8     64   0.71    175     26  303.8  306.3  304.0
  454.0   6187  -27.9  -31.2     73   0.63    177     26  307.3  309.5  307.4
  400.0   7080  -35.1  -38.3     72   0.35    180     25  309.3  310.6  309.4
  397.0   7131  -35.5  -38.7     73   0.34    180     25  309.4  310.7  309.5
  331.0   8370  -45.0  -47.5     75   0.16    210     33  313.0  313.6  313.0
  314.0   8729  -47.7  -50.1     76   0.12    206     32  313.9  314.4  313.9
  311.0   8792  -48.1  -50.5     76   0.12    205     32  314.2  314.7  314.3
  301.0   9008  -49.3  -51.7     76   0.11    210     37  315.5  315.9  315.5
  300.0   9030  -49.3  -51.7     76   0.11    210     37  315.8  316.2  315.8
  286.0   9340  -50.7  -54.4     65   0.08    218     39  318.1  318.4  318.1
  283.0   9408  -50.9  -55.1     60   0.08    220     40  318.8  319.1  318.8
  280.0   9477  -51.1  -55.9     56   0.07    223     38  319.4  319.7  319.5
  278.0   9523  -51.3  -58.3     43   0.05    225     37  319.8  320.0  319.8
  272.0   9664  -47.5  -70.5      5   0.01    229     27  327.3  327.4  327.3
  270.0   9713  -47.3  -71.0      5   0.01    230     24  328.3  328.4  328.3
  257.0  10038  -45.9  -74.3      3   0.01    210     11  335.1  335.1  335.1
  250.0  10220  -45.1  -76.1      2   0.00    195     11  338.9  338.9  338.9
  242.0  10440  -43.8  -76.4      1   0.00    160     11  344.0  344.0  344.0
  233.0  10696  -42.3  -76.8      1   0.00    180     10  350.0  350.0  350.0
  228.0  10843  -41.5  -77.0      1   0.00    160      7  353.5  353.5  353.5
  226.0  10902  -41.1  -77.1      1   0.00    157      8  354.9  354.9  354.9
  222.0  11024  -41.7  -77.4      1   0.00    150     10  355.9  355.9  355.9
  211.0  11368  -43.2  -78.4      1   0.00    150     14  358.6  358.6  358.6
  208.0  11465  -43.7  -78.7      1   0.00    162     12  359.4  359.4  359.4
  206.0  11530  -43.6  -78.8      1   0.00    170     10  360.5  360.5  360.5
  200.0  11730  -43.3  -79.3      1   0.00    170      7  364.0  364.1  364.0
  186.0  12219  -43.0  -79.5      1   0.00    140     10  372.1  372.1  372.1
  153.0  13536  -42.4  -80.2      1   0.00    150     12  394.6  394.6  394.6
  150.0  13670  -42.3  -80.3      1   0.00    150     12  396.9  397.0  396.9
  120.0  15178  -43.0  -81.0      1   0.00    110     10  421.9  421.9  421.9
  100.0  16410  -43.5  -81.5      1   0.01    110      6  443.4  443.4  443.4
   92.0  16969  -43.7  -81.7      1   0.01     90     12  453.7  453.7  453.7
   90.0  17116  -43.7  -81.7      1   0.01    115     11  456.5  456.5  456.5
   81.0  17822  -44.0  -82.0      1   0.01     70     10  469.9  470.0  469.9
   79.0  17990  -44.0  -82.0      1   0.01     80     12  473.2  473.2  473.2
   76.0  18249  -44.1  -82.1      1   0.01    125     11  478.3  478.3  478.3
   70.0  18800  -44.3  -82.3      1   0.01     65      9  489.2  489.3  489.2
   69.0  18897  -44.3  -82.3      1   0.01     65     10  491.3  491.4  491.3
   67.0  19094  -44.2  -82.3      1   0.01     80     10  495.6  495.6  495.6
   64.0  19402  -44.1  -82.4      1   0.01     65     15  502.3  502.3  502.3
   60.0  19835  -44.0  -82.5      1   0.01     95     17  511.9  511.9  511.9
   55.0  20420  -43.9  -82.6      1   0.01    105     13  525.1  525.2  525.1
   50.0  21060  -43.7  -82.7      1   0.01     75     12  540.0  540.1  540.0
   49.3  21155  -43.9  -82.9      1   0.01     75     13  541.7  541.8  541.7
   49.0                                        75     13                     
