70026 PABR Barrow Observations at 18Z 21 Jun 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1012.0     19    8.4    6.9     90   6.20    210      5  280.6  297.8  281.6
 1000.0    107    7.6    6.9     95   6.28    225     14  280.8  298.1  281.8
  959.0    450    5.8    5.3     97   5.87    245     26  282.3  298.7  283.3
  925.0    746    4.2    4.0     99   5.54    220     20  283.6  299.2  284.6
  850.0   1431    0.8    0.8    100   4.79    210     33  287.0  300.8  287.8
  836.0   1563    0.1    0.1    100   4.63    220     35  287.6  301.0  288.4
  764.0   2279   -3.8   -3.8    100   3.81    210     26  290.9  302.2  291.6
  730.0   2641   -5.7   -5.7    100   3.44    203     37  292.6  302.9  293.2
  713.0   2826   -5.9   -6.9     93   3.22    200     42  294.3  304.1  294.9
  701.0   2959   -6.1   -7.7     88   3.07    205     39  295.6  305.0  296.1
  700.0   2970   -6.1   -7.7     88   3.07    205     39  295.7  305.1  296.2
  620.0   3905  -11.6  -13.1     88   2.26    215     30  299.8  307.0  300.2
  584.0   4365  -14.3  -15.8     88   1.92    215     40  301.9  308.0  302.2
  574.0   4496  -15.4  -16.4     92   1.86    215     43  302.1  308.1  302.4
  571.0   4535  -15.7  -16.6     93   1.84    215     43  302.1  308.1  302.5
  550.0   4816  -18.7  -29.7     37   0.60    217     42  301.9  303.9  301.9
  531.0   5077  -19.7  -24.7     64   0.98    219     41  303.7  307.0  303.9
  519.0   5246  -21.2  -32.2     37   0.50    220     41  303.8  305.6  303.9
  517.0   5275  -21.5  -33.5     33   0.44    220     41  303.9  305.4  303.9
  500.0   5520  -22.9  -35.9     29   0.36    220     41  305.1  306.4  305.1
  487.0   5712  -24.3  -38.3     26   0.29    219     42  305.6  306.7  305.7
  468.0   6000  -26.5  -33.5     52   0.49    217     43  306.4  308.1  306.5
  432.0   6571  -31.1  -34.7     71   0.47    212     45  307.6  309.3  307.7
  414.0   6869  -33.3  -37.7     65   0.36    210     46  308.6  309.9  308.6
  400.0   7110  -35.1  -40.1     60   0.29    215     45  309.3  310.4  309.3
  393.0   7233  -35.9  -42.9     49   0.22    216     45  309.8  310.6  309.9
  326.0   8503  -46.9  -50.3     68   0.12    223     47  311.6  312.1  311.7
  321.0   8606  -47.5  -54.5     44   0.07    223     47  312.2  312.5  312.2
  305.0   8941  -50.1  -56.3     48   0.06    225     47  313.2  313.4  313.2
  300.0   9050  -50.9  -56.9     49   0.06    220     46  313.5  313.7  313.5
  297.0   9115  -51.5  -57.5     49   0.05    219     46  313.6  313.8  313.6
  296.0   9137  -51.7  -58.7     43   0.05    219     45  313.6  313.8  313.6
  291.0   9248  -50.3  -62.3     23   0.03    217     45  317.1  317.2  317.1
  286.0   9361  -51.1  -62.4     25   0.03    215     44  317.5  317.7  317.6
  276.0   9593  -52.7  -62.7     29   0.03    220     48  318.5  318.6  318.5
  267.0   9809  -50.9  -64.9     17   0.02    230     52  324.1  324.2  324.1
  256.0  10084  -48.7  -67.7      9   0.02    245     39  331.3  331.4  331.3
  250.0  10240  -48.9  -67.9      9   0.02    240     34  333.2  333.3  333.2
  238.0  10564  -48.2  -68.3      8   0.02    225     31  339.1  339.1  339.1
  219.0  11112  -46.9  -69.0      6   0.02    230     30  349.1  349.2  349.1
  211.0  11357  -46.4  -69.3      6   0.02    240     22  353.7  353.8  353.7
  210.0  11388  -46.3  -69.3      6   0.02    241     22  354.3  354.4  354.3
  201.0  11677  -47.4  -70.4      5   0.01    255     19  357.1  357.1  357.1
  200.0  11710  -47.5  -70.5      5   0.01    255     20  357.4  357.5  357.4
  194.0  11911  -48.3  -71.3      5   0.01    233     24  359.2  359.3  359.2
  192.0  11980  -48.0  -71.1      5   0.01    225     25  360.7  360.8  360.7
  185.0  12226  -47.1  -70.5      5   0.02    240     23  366.0  366.1  366.0
  170.0  12787  -45.1  -69.1      5   0.02    228     22  378.4  378.5  378.4
  161.0  13149  -45.7  -69.3      5   0.02    220     21  383.3  383.4  383.3
  155.0  13402  -46.1  -69.4      5   0.02    240     15  386.7  386.8  386.7
  150.0  13620  -46.5  -69.5      6   0.02    240     14  389.7  389.9  389.7
  146.0  13800  -46.4  -69.6      5   0.02    230     13  392.9  393.0  392.9
  138.0  14175  -46.3  -69.7      5   0.02    245     13  399.5  399.6  399.5
  135.0  14322  -46.2  -69.8      5   0.02    220      9  402.1  402.2  402.1
  133.0  14421  -46.2  -69.8      5   0.02    210     10  403.9  404.0  403.9
  127.0  14728  -46.1  -69.9      5   0.02    210     16  409.4  409.6  409.4
  116.0  15332  -45.9  -70.1      5   0.03    245     10  420.6  420.8  420.6
  107.0  15869  -45.7  -70.3      5   0.03    185     11  430.8  431.0  430.8
  105.0  15995  -45.6  -70.4      4   0.03    190     13  433.2  433.4  433.2
  100.0  16320  -45.5  -70.5      4   0.03    250      7  439.5  439.7  439.5
   82.0  17644  -44.7  -72.0      3   0.03    150     13  466.8  466.9  466.8
   80.0  17809  -44.6  -72.1      3   0.03    180     17  470.3  470.4  470.3
   74.0  18329  -44.3  -72.7      3   0.03    200     10  481.5  481.7  481.5
   73.0  18420  -44.3  -72.8      3   0.03    190     10  483.5  483.7  483.5
   70.0  18700  -44.1  -73.1      3   0.03    220     10  489.7  489.9  489.7
   69.0  18796  -44.1  -73.3      2   0.03    230     10  491.6  491.8  491.6
   66.0  19093  -44.2  -73.9      2   0.03    115     10  497.7  497.9  497.7
   62.0  19512  -44.4  -74.8      2   0.02    190     10  506.3  506.5  506.3
   59.0  19843  -44.5  -75.5      2   0.02    180     10  513.3  513.4  513.3
   58.0  19958  -44.5  -75.8      2   0.02    195     10  515.7  515.9  515.7
   50.0  20950  -44.9  -77.9      1   0.02    130      6  537.2  537.4  537.2
   46.0  21508  -44.8  -78.7      1   0.02    145     10  550.5  550.6  550.5
   45.0  21655  -44.7  -78.9      1   0.02    165     10  554.0  554.2  554.0
   41.0  22278  -44.6  -79.7      1   0.02     90     10  569.3  569.5  569.3
   37.0  22964  -44.4  -80.6      1   0.02    160     13  586.7  586.8  586.7
   35.0  23336  -44.3  -81.1      1   0.02    110     10  596.3  596.5  596.3
   34.4  23452  -44.3  -81.3      1   0.02    116     10  599.4  599.5  599.4
   34.0                                       120     10                     
