70026 PABR Barrow Observations at 00Z 18 Oct 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0      7                                                               
  999.0     19   -1.5   -5.2     76   2.61     65      7  271.7  279.0  272.2
  955.0    370   -5.4   -6.9     89   2.40     45     16  271.3  278.0  271.7
  925.0    618   -8.1   -8.1    100   2.25     50     17  271.0  277.3  271.4
  890.0    917  -10.1  -10.1    100   2.00     50     18  272.0  277.6  272.3
  865.0   1136  -11.7  -11.8     99   1.80     50     19  272.5  277.6  272.8
  862.0   1163   -9.7  -12.6     79   1.69     50     19  274.9  279.8  275.1
  859.0   1190   -9.4  -13.1     74   1.63     50     19  275.5  280.2  275.7
  858.0   1199   -9.3  -13.3     73   1.61     50     19  275.6  280.3  275.9
  850.0   1271   -9.3  -13.5     72   1.60     50     19  276.4  281.1  276.7
  790.0   1835  -11.1  -16.1     67   1.39     40     14  280.3  284.5  280.5
  762.0   2111  -11.7  -17.7     61   1.26     35     12  282.6  286.4  282.8
  745.0   2283  -12.1  -18.6     58   1.18     10     11  284.0  287.6  284.2
  734.0   2397  -12.3  -19.3     56   1.14     15     11  284.9  288.5  285.1
  724.0   2502  -12.8  -19.6     57   1.13     20     11  285.5  289.0  285.6
  702.0   2736  -14.1  -20.1     60   1.11     29      6  286.6  290.1  286.8
  700.0   2758  -14.1  -20.1     60   1.11     30      5  286.8  290.3  287.0
  688.0   2889  -15.1  -22.1     55   0.95     19      5  287.1  290.2  287.3
  684.0   2933  -15.1  -30.1     27   0.46     16      5  287.6  289.1  287.7
  678.0   3000  -15.7  -23.7     50   0.84     10      5  287.7  290.4  287.8
  664.0   3157  -16.1  -35.1     18   0.29    357      4  288.9  289.9  289.0
  656.0   3248  -16.5  -35.8     17   0.28    350      4  289.5  290.5  289.6
  640.0   3433  -17.3  -37.3     16   0.24    347      6  290.6  291.5  290.7
  583.0   4125  -22.7  -37.7     24   0.26    337     13  292.2  293.1  292.2
  572.0   4263  -23.3  -39.2     22   0.23    335     14  293.1  293.9  293.2
  538.0   4709  -25.1  -44.0     16   0.14      5     13  296.1  296.6  296.1
  514.0   5041  -26.5  -47.5     12   0.10      5     10  298.3  298.7  298.3
  500.0   5240  -27.9  -39.9     31   0.24      5      8  299.0  299.8  299.0
  488.0   5412  -29.4  -39.4     38   0.26     15     10  299.1  300.1  299.2
  476.0   5589  -31.0  -38.8     46   0.28     35     12  299.3  300.3  299.4
  452.0   5955  -34.3  -37.6     72   0.33     35     10  299.6  300.8  299.7
  448.0   6018  -34.9  -37.4     78   0.34     38     10  299.7  300.9  299.8
  428.0   6335  -37.3  -38.4     89   0.33     54     10  300.6  301.7  300.6
  415.0   6547  -38.7  -40.3     84   0.28     65     10  301.5  302.5  301.5
  400.0   6800  -40.3  -42.6     78   0.22     65     11  302.5  303.4  302.6
  387.0   7022  -42.2  -45.0     74   0.18     60     15  302.9  303.6  302.9
  362.0   7471  -46.1  -49.8     66   0.11     67     13  303.5  304.0  303.6
  351.0   7675  -47.6  -49.0     85   0.13     70     12  304.2  304.7  304.3
  350.0   7694  -47.7  -48.9     87   0.13     68     12  304.3  304.8  304.3
  339.0   7903  -49.6  -51.9     76   0.09     50     12  304.6  304.9  304.6
  329.0   8098  -51.3  -54.8     66   0.07     60     12  304.8  305.1  304.8
  301.0   8669  -56.1  -58.5     75   0.05     90     12  305.9  306.0  305.9
  300.0   8690  -56.3  -58.6     75   0.05     90     12  305.9  306.1  305.9
  294.0   8818  -57.5  -58.8     85   0.05     80     12  305.9  306.1  306.0
  291.0   8882  -57.9  -60.8     69   0.04     80     11  306.3  306.4  306.3
  286.0   8992  -57.1  -66.1     31   0.02    108     10  308.9  309.0  308.9
  260.0   9600  -54.3  -69.6     13   0.01    260      2  321.6  321.7  321.6
  250.0   9850  -53.1  -71.1      9   0.01    205      5  327.0  327.0  327.0
  231.0  10361  -51.1  -75.1      4   0.01    200      8  337.5  337.5  337.5
  216.0  10798  -50.4  -76.2      3   0.01    195     10  345.2  345.2  345.2
  207.0  11076  -49.9  -76.9      3   0.01    205     14  350.2  350.2  350.2
  202.0  11235  -49.6  -77.3      2   0.01    220     15  353.0  353.1  353.0
  200.0  11300  -49.5  -77.5      2   0.00    220     15  354.2  354.2  354.2
  171.0  12329  -49.0  -78.3      2   0.01    200     17  371.3  371.4  371.3
  159.0  12807  -48.7  -78.7      2   0.01    203     18  379.6  379.6  379.6
  150.0  13190  -49.5  -79.5      2   0.00    205     19  384.6  384.6  384.6
  100.0  15840  -49.5  -81.5      1   0.01    210     28  431.8  431.8  431.8
   91.0  16456  -49.2  -81.9      1   0.01    230     29  444.1  444.2  444.1
   88.0  16675  -49.1  -82.0      1   0.01    215     26  448.6  448.6  448.6
   83.0  17057  -49.0  -82.3      1   0.01    225     29  456.5  456.5  456.5
   75.4  17685  -48.7  -82.7      1   0.01    212     32  469.8  469.8  469.8
   74.0  17807  -49.0  -82.7      1   0.01    210     32  471.8  471.8  471.8
   70.0  18170  -49.7  -82.7      1   0.01    225     34  477.7  477.7  477.7
   63.0  18859  -50.4  -83.4      1   0.01    215     26  490.8  490.8  490.8
   60.0  19178  -50.7  -83.7      1   0.01    210     34  496.9  497.0  497.0
   56.0  19629  -51.2  -84.2      1   0.01    220     46  505.8  505.9  505.8
   52.0  20114  -51.6  -84.6      1   0.01    220     32  515.5  515.6  515.5
   50.0  20370  -51.9  -84.9      1   0.01    220     40  520.7  520.8  520.7
   48.0  20633  -52.2  -85.0      1   0.01    230     44  526.2  526.2  526.2
   41.0  21648  -53.2  -85.4      1   0.01    225     33  547.8  547.8  547.8
   39.5  21888  -53.5  -85.5      1   0.01    218     38  553.0  553.0  553.0
   39.0  21971  -53.3  -85.5      1   0.01    215     40  555.5  555.5  555.5
   31.0  23458  -50.0  -84.6      1   0.01    240     49  602.1  602.2  602.1
   30.0  23670  -49.5  -84.5      1   0.01    240     48  609.1  609.2  609.1
   29.8  23714  -49.3  -84.3      1   0.01    241     47  610.8  610.9  610.8
   28.0  24118  -50.5  -84.8      1   0.01    250     42  618.5  618.5  618.5
   27.0  24354  -51.2  -85.1      1   0.01    225     38  623.0  623.0  623.0
   26.0  24599  -51.9  -85.5      1   0.01    230     36  627.6  627.8  627.6
   24.7  24932  -52.9  -85.9      1   0.01    232     38  634.1  634.2  634.1
   22.1  25652  -50.3  -85.3      1   0.01    236     42  662.3  662.4  662.3
   20.0  26300  -51.5  -85.5      1   0.01    240     46  677.8  677.9  677.8
   19.0  26631  -52.3  -85.9      1   0.01    245     44  685.2  685.3  685.2
   18.0  26981  -53.2  -86.4      1   0.01    235     50  693.1  693.2  693.1
   17.7  27089  -53.5  -86.5      1   0.01                695.5  695.7  695.5
   17.6  27125  -53.5  -86.5      1   0.01                696.6  696.8  696.6
