71082 WLT Alert Observations at 12Z 24 Sep 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    -54                                                               
  985.0     76   -7.3   -8.5     91   2.05    250     13  267.0  272.7  267.3
  967.0    216   -7.1  -12.1     67   1.57    244     14  268.6  273.1  268.9
  955.7    305   -7.0  -11.6     70   1.66    240     15  269.6  274.3  269.9
  938.0    446   -6.9  -10.7     74   1.81    214     10  271.2  276.3  271.5
  925.0    552   -7.1  -10.3     78   1.90    195      6  272.0  277.4  272.4
  918.0    610   -7.5  -10.6     79   1.87    200      3  272.2  277.5  272.5
  882.2    914   -9.7  -12.2     82   1.71    295      6  273.1  278.0  273.3
  860.0   1108  -11.1  -13.2     84   1.62    302      6  273.6  278.3  273.9
  850.0   1197  -11.7  -13.8     84   1.56    305      6  273.9  278.4  274.1
  847.6   1219  -11.8  -13.9     84   1.55    305      6  274.0  278.5  274.3
  814.4   1524  -13.0  -15.1     84   1.45    290      6  275.9  280.2  276.1
  782.6   1829  -14.1  -16.4     83   1.36     30      2  277.8  281.9  278.0
  752.0   2134  -15.3  -17.6     82   1.28     30      5  279.7  283.6  279.9
  732.0   2340  -16.1  -18.5     82   1.22     57      8  281.0  284.7  281.2
  722.6   2438  -16.3  -18.7     82   1.22     70      9  281.9  285.6  282.1
  712.0   2550  -16.5  -18.9     82   1.21     68     12  282.8  286.5  283.0
  700.0   2679  -15.7  -17.7     85   1.37     65     16  285.1  289.3  285.3
  698.0   2701  -15.7  -17.8     84   1.36     65     17  285.3  289.5  285.5
  696.0   2722  -15.9  -17.9     85   1.35     65     17  285.3  289.5  285.6
  694.0   2743  -16.0  -18.0     84   1.34     65     18  285.4  289.6  285.7
  613.5   3658  -20.4  -23.3     77   0.96     80     34  290.6  293.7  290.8
  566.0   4257  -23.3  -26.8     73   0.76     80     40  294.0  296.5  294.1
  565.2   4267  -23.4  -26.9     73   0.75     80     40  294.0  296.5  294.1
  519.3   4877  -28.4  -31.4     75   0.54     75     36  295.1  296.9  295.2
  503.0   5108  -30.3  -33.1     76   0.47     75     39  295.5  297.1  295.6
  500.0   5150  -30.7  -33.5     76   0.46     75     39  295.6  297.1  295.6
  476.6   5486  -33.3  -36.3     74   0.36     80     44  296.4  297.7  296.5
  442.0   6016  -37.3  -40.6     71   0.25     71     42  297.8  298.7  297.9
  436.9   6096  -37.9  -41.1     72   0.24     70     42  298.1  299.0  298.1
  412.0   6499  -40.7  -43.4     75   0.20     80     35  299.5  300.2  299.5
  400.0   6700  -41.9  -44.8     73   0.18     85     31  300.4  301.1  300.5
  385.0   6959  -43.7  -47.0     70   0.14     81     30  301.4  301.9  301.4
  355.0   7499  -48.5  -51.3     73   0.10     72     28  302.0  302.4  302.0
  348.6   7620  -49.4  -52.4     71   0.09     70     27  302.4  302.7  302.4
  348.0   7631  -49.5  -52.5     71   0.09     70     27  302.4  302.7  302.4
  336.0   7860  -50.9  -53.5     74   0.08     79     21  303.5  303.8  303.5
  335.0   7880  -51.1  -53.8     73   0.08     80     21  303.5  303.8  303.5
  320.0   8178  -51.3  -55.3     62   0.07     89     22  307.2  307.5  307.2
  317.5   8230  -51.1  -55.4     60   0.07     90     22  308.1  308.4  308.2
  300.0   8600  -49.9  -55.9     49   0.07     85     25  314.9  315.2  314.9
  276.4   9144  -46.9  -55.2     38   0.08     80     24  326.7  327.0  326.7
  252.1   9754  -43.6  -54.4     29   0.09     75     25  340.3  340.7  340.3
  250.0   9810  -43.3  -54.3     29   0.10     85     21  341.6  342.0  341.6
  223.0  10579  -42.5  -56.5     20   0.08     89     18  354.1  354.5  354.1
  220.1  10668  -42.7  -56.9     19   0.08     90     18  355.2  355.6  355.2
  200.0  11310  -43.9  -59.9     15   0.06     85     15  363.1  363.4  363.1
  192.1  11582  -44.2  -61.0     14   0.05     80     14  366.8  367.1  366.8
  181.0  11980  -44.7  -62.7     12   0.05     78     12  372.3  372.5  372.3
  172.0  12323  -43.9  -63.9      9   0.04     76     10  379.1  379.3  379.1
  161.0  12766  -44.7  -65.7      8   0.03     73      7  385.0  385.1  385.0
  150.0  13240  -45.1  -67.1      7   0.03     70      4  392.1  392.3  392.1
  146.2  13411  -45.4  -68.0      6   0.03    105      4  394.6  394.7  394.6
  139.6  13716  -45.9  -69.6      5   0.02     65     10  398.9  399.1  398.9
  127.3  14326  -46.8  -72.8      4   0.02    165      7  407.8  407.9  407.8
  117.0  14887  -47.7  -75.7      3   0.01    119      8  416.2  416.2  416.2
  110.9  15240  -48.0  -77.1      2   0.01     90      9  422.0  422.1  422.0
  106.0  15537  -48.3  -78.3      2   0.01    134      4  426.9  427.0  426.9
  105.9  15545  -48.3  -78.3      2   0.01    135      4  427.1  427.1  427.1
  101.1  15850  -48.8  -78.8      2   0.01     85      8  431.9  431.9  431.9
  100.0  15920  -48.9  -78.9      2   0.01    155      7  433.0  433.0  433.0
   98.6  16012  -49.3  -79.3      2   0.01    141      8  433.9  434.0  433.9
   96.5  16154  -49.2  -79.6      2   0.01    120      9  436.8  436.8  436.8
   92.7  16417  -49.1  -80.1      2   0.01    128      9  442.0  442.1  442.1
   85.7  16932  -49.1  -79.1      2   0.01    142     10  452.1  452.1  452.1
   84.9  16993  -49.1  -79.1      2   0.01    144     10  453.3  453.4  453.3
   80.1  17374  -50.1  -79.5      2   0.01    155     11  458.9  458.9  458.9
   76.3  17691  -50.9  -79.9      2   0.01     80      7  463.6  463.6  463.6
   73.7  17916  -51.5  -80.5      2   0.01     26      5  466.9  467.0  466.9
   72.9  17983  -51.5  -80.5      2   0.01     10      4  468.3  468.4  468.3
   71.2  18140  -51.5  -80.5      2   0.01     92      8  471.6  471.6  471.6
   70.0  18250  -51.3  -80.3      2   0.01    150     11  474.3  474.3  474.3
   69.6  18288  -51.3  -80.3      2   0.01     95     14  475.1  475.1  475.1
   69.5  18296  -51.3  -80.3      2   0.01     93     14  475.2  475.3  475.2
   63.3  18898  -52.1  -81.1      2   0.01    295      2  486.3  486.4  486.3
   60.2  19225  -52.5  -81.5      2   0.01     24      3  492.5  492.6  492.5
   59.1  19344  -52.5  -81.5      2   0.01     56      3  495.1  495.1  495.1
   57.9  19476  -52.5  -81.5      2   0.01     92      4  498.0  498.1  498.0
   57.6  19507  -52.5  -81.5      2   0.01    100      4  498.7  498.7  498.7
   56.4  19646  -52.5  -81.5      2   0.01    104      4  501.7  501.8  501.8
   55.6  19738  -52.5  -81.5      2   0.01    106      4  503.8  503.9  503.8
   55.2  19784  -52.5  -81.5      2   0.01    108      4  504.8  504.9  504.8
   50.0  20420  -54.1  -82.1      2   0.01    125      4  515.5  515.6  515.5
   43.3  21336  -55.7  -83.0      2   0.01    150      7  533.1  533.2  533.1
   41.3  21641  -56.2  -83.3      2   0.01    190     10  539.1  539.2  539.1
   41.1  21673  -56.3  -83.3      2   0.01    189     10  539.8  539.8  539.8
   38.9  22023  -56.3  -83.3      2   0.01    184      9  548.3  548.4  548.3
   38.1  22155  -56.1  -83.1      2   0.01    182      8  552.1  552.2  552.1
   37.5  22250  -55.9  -82.9      2   0.01    180      8  554.9  555.0  554.9
   35.2  22660  -55.1  -82.1      2   0.01    185      7  567.3  567.4  567.3
   31.2  23430  -55.7  -81.7      3   0.02    195      4  585.6  585.7  585.6
   31.0  23470  -55.7  -81.9      2   0.02    195      4  586.6  586.7  586.6
   30.0  23680  -55.9  -82.9      2   0.01    200      2  591.6  591.8  591.7
   29.8  23723  -55.9  -82.9      2   0.01    216      4  592.8  592.9  592.8
   29.6  23774  -56.0  -82.9      2   0.01    235      7  593.9  594.0  593.9
   28.2  24079  -56.5  -82.7      2   0.02    185      4  600.6  600.7  600.6
   27.8  24163  -56.7  -82.7      2   0.02    189      5  602.4  602.6  602.5
   27.2  24302  -56.7  -82.7      2   0.02    196      6  606.2  606.4  606.2
   26.9  24384  -56.6  -82.6      2   0.02    200      7  608.8  608.9  608.8
   26.6  24443  -56.5  -82.5      2   0.02    201      7  610.6  610.8  610.7
   25.7  24661  -56.3  -82.3      2   0.02    207      6  617.2  617.4  617.3
   24.4  24994  -56.7  -82.2      3   0.02    215      4  625.5  625.7  625.5
   22.9  25392  -57.1  -82.1      3   0.02    188      4  635.6  635.8  635.6
   22.1  25617  -57.1  -83.1      2   0.02    173      4  642.1  642.2  642.1
