-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1014.0         -36.9  -40.3     71   0.11     15      8  235.3  235.6  235.3
 1003.0         -32.1  -35.0     75   0.20     31     15  240.8  241.4  240.9
 1000.0    114  -31.3  -34.2     76   0.21     35     17  241.8  242.4  241.9
  996.0    143  -30.6  -33.5     76   0.23     35     17  242.8  243.4  242.8
  957.0    431  -24.1  -26.2     83   0.47     46     13  252.2  253.5  252.3
  930.0    640  -22.9  -24.7     85   0.56     54     10  255.5  257.1  255.6
  925.0    680  -22.9  -24.7     85   0.56     55     10  255.9  257.5  256.0
  900.0    881  -22.9  -24.9     84   0.57     79      9  257.9  259.5  258.0
  868.0   1147  -20.9  -23.2     82   0.68    111      8  262.7  264.6  262.8
  850.0   1302  -20.9  -23.4     80   0.69    130      8  264.2  266.2  264.4
  844.0   1354  -20.9  -23.5     79   0.68    135      8  264.8  266.8  264.9
  835.0   1434  -20.9  -23.7     78   0.68    127      7  265.6  267.6  265.7
  817.0   1594  -21.6  -25.8     69   0.58    110      6  266.5  268.2  266.6
  780.0   1935  -23.1  -30.1     53   0.40    126      7  268.4  269.7  268.5
  700.0   2721  -27.1  -31.5     66   0.39    165     10  272.4  273.7  272.5
  694.0   2783  -27.3  -31.5     67   0.40    168     10  272.9  274.1  273.0
  689.0   2835  -27.6  -31.8     68   0.39    170     10  273.1  274.3  273.2
  637.0   3396  -31.1  -34.6     71   0.32    159     10  275.3  276.4  275.4
  596.0   3858  -33.7  -38.4     62   0.23    150     10  277.6  278.4  277.7
  507.0   4983  -40.0  -47.7     43   0.10    185     16  283.1  283.5  283.1
  500.0   5080  -40.5  -48.5     42   0.09    180     19  283.6  283.9  283.6
  477.0   5397  -43.1  -51.1     41   0.07    180     20  284.2  284.5  284.2
  400.0   6560  -49.7  -56.7     44   0.04    180     21  290.3  290.5  290.3
  360.0   7245  -54.5  -61.5     42   0.03    180     22  292.8  292.9  292.8
  300.0   8400  -60.7  -67.7     39   0.01    180     23  299.7  299.7  299.7
  289.0   8631  -61.5  -68.5     39   0.01    185     29  301.7  301.7  301.7
  287.0   8674  -61.7  -68.7     39   0.01    185     29  302.1  302.1  302.1
  279.0   8848  -60.9  -67.8     39   0.01    175     23  305.7  305.8  305.8
  274.0   8960  -60.3  -67.3     39   0.02    172     21  308.1  308.2  308.1
  258.0   9334  -59.6  -66.6     40   0.02    160     14  314.4  314.5  314.4
  250.0   9530  -59.3  -66.3     40   0.02    165     17  317.8  317.9  317.8
  239.0   9812  -59.2  -66.2     40   0.02    175     14  322.0  322.1  322.0
  200.0  10930  -58.9  -65.9     40   0.03    135      8  339.3  339.5  339.3
  198.0  10993  -58.9  -65.9     40   0.03    130      8  340.3  340.4  340.3
  182.0  11520  -59.1  -66.1     40   0.03    145      8  348.3  348.4  348.3
  176.0  11730  -59.2  -66.2     40   0.03    130     12  351.5  351.7  351.5
  150.0  12730  -59.5  -66.5     40   0.03    165     16  367.4  367.5  367.4
  149.0  12772  -59.5  -66.5     40   0.03    165     14  368.1  368.2  368.1
  146.0  12899  -59.5  -66.5     39   0.03    150      8  370.3  370.4  370.3
  129.0  13675  -59.4  -66.7     38   0.04    170     14  383.8  384.0  383.8
  120.0  14128  -59.3  -66.8     37   0.04    150     14  392.0  392.2  392.0
  116.0  14340  -59.2  -66.9     36   0.04    170     19  395.8  396.1  395.9
  100.0  15270  -59.1  -67.1     35   0.05    170     27  413.3  413.5  413.3
   85.6  16239  -60.5  -68.5     34   0.04    163     31  429.2  429.5  429.2
   70.0  17490  -60.3  -69.3     30   0.05    155     35  455.0  455.3  455.1
   62.0  18255  -59.0  -68.4     29   0.06    170     58  474.0  474.4  474.0
   57.0  18784  -58.1  -67.7     28   0.07    160     43  487.5  488.0  487.6
   55.0  19009  -57.7  -67.4     28   0.08    175     52  493.4  493.9  493.4
   50.0  19610  -56.7  -66.7     27   0.10    160     54  509.4  510.1  509.5
   49.0  19738  -56.7  -66.7     27   0.10    160     51  512.3  513.0  512.4
   42.4  20653  -56.9  -66.9     27   0.11    165     63  533.5  534.3  533.5
   36.0  21705  -53.2  -63.8     27   0.20    170     78  568.5  570.0  568.5
   35.8  21741  -53.1  -63.6     27   0.20    170     78  569.7  571.3  569.8
   33.0  22264  -51.3  -62.1     26   0.27    170     56  587.9  590.1  588.0
   32.0  22462  -50.6  -61.5     26   0.30    185     74  595.0  597.4  595.1
   30.7  22729  -49.7  -60.7     26   0.35    179     83  604.5  607.4  604.7
   30.0  22880  -47.9  -59.9     24   0.40    175     87  613.4  616.7  613.6
   29.0  23108  -46.8  -59.0     23   0.46    175     91  622.5  626.3  622.7
   25.0  24105  -41.8  -55.2     22   0.86    175     85  663.7  671.1  664.1
   23.3  24578  -39.4  -53.4     21   1.14    180    105  684.1  694.1  684.6
   23.2  24607  -39.3  -53.3     21   1.16    180    105  685.4  695.6  685.9
   23.0  24666  -39.4  -53.4     21   1.15    180    105  686.9  697.0  687.4
   20.0  25620  -40.5  -55.5     18   1.03    180     95  711.4  720.9  711.9
   18.3  26223  -41.9  -57.9     16   0.84    188     90  725.3  733.3  725.7
   17.0  26726  -39.8  -57.0     14   1.01    195     85  747.4  757.2  747.8
   16.1  27098  -38.3  -56.3     13   1.16    195     91  764.1  775.6  764.6
   16.0  27140  -38.4  -56.5     13   1.15    195     91  765.0  776.5  765.5
   13.0  28539  -42.6  -61.5     11   0.74    190     91  797.3  805.2  797.6
   11.0  29665  -46.0  -65.6      9   0.51    185     66  824.0  829.8  824.3
   10.1  30241  -47.7  -67.7      8   0.42    189     68  838.0  842.8  838.2
   10.0                                       190     68                     
